,text,labels,predicted_label
78,Yes.,PENNY,RAJ
79,No.,PENNY,LEONARD
80,"Okay, now this time try drinking it all at once.",PENNY,PENNY
81,You’re kidding. Never worked for me.,LEONARD,LEONARD
82,"I’m sorry, Leonard. But revenge is a dish best served cold.",SHELDON,SHELDON
83,"Well, last time you bought a new shirt was when we were dating.",PENNY,LEONARD
84,"Excuse me, I believe Aquaman uses his telepathic powers to request the fish do their business elsewhere.",SHELDON,SHELDON
85,No. You have to start over.,OTHERS,PENNY
86,This is banana bread.,SHELDON,PENNY
87,"Okay, so, you pick your princess, Sleeping Beauty, Snow White, Cinderella, they give you hair, makeup, the works.",OTHERS,PENNY
88,"You believe in your religion, I’ll believe in mine.",HOWARD,PENNY
89,"I’ve been thinking about it, and you might be right. But the good news is that I’m pretty sure I know why.",LEONARD,SHELDON
90,"I understand your envy. This is a can’t-miss symposium. There are going to be discussions on bioorganic cellular computer devices, the advancements in multi-threaded task completion, plus a roundtable on the nonequilibrium Green’s function approach to the photoionization process in atoms.",SHELDON,HOWARD
91,"Look, Penny, you’re great, but I had a long talk with my parents, and they said if I date an Indian girl, I get a Maserati.",RAJ,PENNY
92,Uh-huh.,HOWARD,SHELDON
93,Great. I hope I’m a waitress at the Cheesecake Factory for my whole life.,PENNY,PENNY
94,"They don’t? Well, apparently, these people and I differ greatly on the definition of party.",SHELDON,PENNY
95,What?,LEONARD,PENNY
96,"Okay, I’m going into space, and when I come back, I have to pick up a poodle crap.",OTHERS,LEONARD
97,He does. And in the kitchen. And in the car. And in his pocket.,LEONARD,SHELDON
98,"Yes, and continue to bond. I have a feeling that after tonight, one of you will become my best friend forever. Or BFF, if you prefer. Which I don’t.",OTHERS,PENNY
99,"Ignore him. Yeah, sorry about the breakup.",LEONARD,LEONARD
100,Spending Valentine’s Day with Emily.,RAJ,PENNY
101,"Okay, because that was not clear.",SHELDON,SHELDON
102,"I did. Um, listen, I really enjoyed spending this morning with you.",OTHERS,SHELDON
103,"Open the door, Rajesh.",OTHERS,LEONARD
104,It’s not a little scooter. It’s the second biggest Vespa they make! Are you watching football?,HOWARD,HOWARD
105,"Oh, my God.",PENNY,LEONARD
106,There is no class.,SHELDON,LEONARD
107,I’m doing some experiments to show that the signal to move a muscle occurs before you know you even decided to move it.,OTHERS,LEONARD
108,Let’s just redo one room and see how it goes.,OTHERS,SHELDON
109,Like that?,OTHERS,RAJ
110,It’s all defrosting.,HOWARD,LEONARD
111,Tomorrow.,LEONARD,RAJ
112,But he had already moved on.,PENNY,HOWARD
113,It just said Italian sub. I had no idea mortadella has pistachios in it.,LEONARD,SHELDON
114,"Slow down, Sheldon. I’m not quite there yet.",OTHERS,SHELDON
115,"I asked if you were in the shower, but that’s moot now.",SHELDON,SHELDON
116,"I don’t know about you guys, but I’m gonna make a beeline for the place that gives you a princess makeover.",OTHERS,SHELDON
117,Did it have a metal toilet next to the bed?,LEONARD,HOWARD
118,"Thank you, Howard.",RAJ,PENNY
119,"Huge fan, you say?",OTHERS,PENNY
120,"Um, kind of hit a bump. When I was honest and told Emily she wasn’t the only person I was seeing, it went great. So I tried the same thing with Lucy.",RAJ,LEONARD
121,"Under normal circumstances I’d say, I told you so. But as I have told you so with such vehemence and frequency already, the phrase has lost all meaning. Therefore, I will be replacing it with the phrase I informed you thusly.",SHELDON,LEONARD
122,How?,SHELDON,LEONARD
123,Celebrate your thirty under thirty thing. Right Sheldon?,LEONARD,HOWARD
124,I don’t believe this.,OTHERS,PENNY
125,"Oh, no. A plaque? Nobody wants to see this.",SHELDON,HOWARD
126,"Okay, well, thank you for getting my mail.",PENNY,HOWARD
127,"Oh. Gee, that’s really sweet, but the thing is…",PENNY,SHELDON
128,Are you really that kind of guy?,PENNY,LEONARD
129,We were having a conversation about past lovers.,RAJ,SHELDON
130,Just what?,OTHERS,SHELDON
131,"Oh, the project is classified. I can’t tell you. Oh, I suppose I could redact the classified parts. All right, um, I came up with an elegant solution to the  I used the  And then I  And that did it.  Wow, I wonder what they’re redacting.",SHELDON,OTHERS
132,"So, I hear you saying you’re angry with your mother.",SHELDON,HOWARD
133,"Wait, your, your mother is sleeping with your dentist?",RAJ,LEONARD
134,"Leonard makes you watch that, too?",OTHERS,SHELDON
135,Eight years?,PENNY,OTHERS
136,"I see what’s happening. Sides are forming. Well, if Bernadette’s on Amy’s team, I pick Howard.",SHELDON,HOWARD
137,Hello.,HOWARD,PENNY
138,"No, they’re not.",LEONARD,PENNY
139,"She turned away, wiping her eyes. She couldn’t bear to watch her one chance at true love disappear forever. Then she felt a strong hand on her shoulder spin her around. It was Cooper.",OTHERS,HOWARD
140,Yeah.,LEONARD,SHELDON
141,"Oh, oh, good, because, um, his mother called me.",PENNY,OTHERS
142,What?,HOWARD,SHELDON
143,You’re making me sound like a caveman.,RAJ,LEONARD
144,"Sheldon, what do you think?",OTHERS,PENNY
145,I have good news.,SHELDON,LEONARD
146,I was 14 and graduating summa cum laude from college. Summa cum laude is Latin for with highest honours.,SHELDON,LEONARD
147,"Yeah, fine.",LEONARD,SHELDON
148,"Oh, grow up.",PENNY,SHELDON
149,You didn’t have to scoop vomit out of your glove compartment.,LEONARD,SHELDON
150,Thank you.,OTHERS,PENNY
151,"I’m going to create a character and a situation, and you just jump in when you feel it.",PENNY,PENNY
152,Please tell me you’re not having coitus.,SHELDON,SHELDON
153,Yes.,HOWARD,OTHERS
154,Next.,SHELDON,LEONARD
155,I understand that some people find mates in social gathering places such as bars or taverns. Have you tried a bar or tavern?,OTHERS,PENNY
156,I just thought you were bad at the game.,SHELDON,SHELDON
157,Never noticed that about you.,LEONARD,SHELDON
158,"Uh, here’s the thing. Girls like Penny never end up with guys who own time machines.",LEONARD,HOWARD
159,You don’t need to drive yourself crazy in order to be productive.,OTHERS,PENNY
160,I heard you ask it over and over. How is it inappropriate for me to ask it once?,SHELDON,OTHERS
161,May I join you?,RAJ,PENNY
162,"Hey, is that one of the new shirts Priya got you?",PENNY,LEONARD
163,"Yeah, you know the sad thing is, it’s really not. Ooh, is this one of those paintball guns?",PENNY,SHELDON
164,"Don’t worry, I can take a hint. No more murder mystery parties.",RAJ,LEONARD
165,What?,LEONARD,HOWARD
166,"I’ll show you.  Dear Crazy Future Sheldon, you were driven mad by an earworm. Your mind, once your most trusted asset, is now a sack of parrots and monkeys. So, I’m going to tell you everything you need to know. Uh, first, music is dangerous. The movie Footloose tried to warn us, but we wouldn’t listen. Oh, wait.  Everyody cut footloose. Nope.",SHELDON,PENNY
167,I knew that too.,LEONARD,LEONARD
168,"You know what? That was almost on topic. I’m gonna say good job, Sheldon.",PENNY,SHELDON
169,What the hell is this?,RAJ,PENNY
170,"Oh, there you are. Leonard, I know you’re upset about recent events, and I have someone here to help.",SHELDON,SHELDON
171,"You are beautiful, you know that? You pop, sparkle and buzz electric. I’m going to pick you up at eight, show you a night you will never forget.",LEONARD,SHELDON
172,"Oh. Well, just out of curiosity, what registers as odd to you?",HOWARD,SHELDON
173,I never said that.,RAJ,OTHERS
174,"Okay, the clue must be in the bag.",PENNY,HOWARD
175,"Mmm. Amy, that pudding was delicious.",RAJ,PENNY
176,"Oh, yeah, and we said we should do it more often. And, and, and, and, and here we are.",HOWARD,OTHERS
177,"Oh, right. I’ll tell her we should just be friends.",OTHERS,SHELDON
178,We don’t order egg rolls.,LEONARD,HOWARD
179,"I remember thinking this is stupid, and I was right.",OTHERS,PENNY
180,Good idea. I’ll help you.,OTHERS,SHELDON
181,"Fine. Just get back under your blanket, and I’ll drive you there.",LEONARD,PENNY
182,"I just, I can’t believe I trusted him.",PENNY,SHELDON
183,"Shh, I don’t hate you.",HOWARD,LEONARD
184,Yeah.,PENNY,RAJ
185,How did you see it? You said you wouldn’t look.,PENNY,OTHERS
186,I need an aspirin.,RAJ,HOWARD
187,"Not for you, box of towels.",OTHERS,SHELDON
188,That’s not true.,HOWARD,HOWARD
189,"I see. Is that all right? I’m sorry, but this is a litigious society. I’m gonna need verbal consent.",SHELDON,LEONARD
190,That’ll do it.,RAJ,LEONARD
191,Maybe you should talk to a therapist about this.,OTHERS,LEONARD
192,All set.,SHELDON,PENNY
193,And what’s that?,PENNY,OTHERS
194,I’m sorry. Wolowitz would never play that card.,SHELDON,OTHERS
195,Play it again. Play it again.,OTHERS,SHELDON
196,I didn’t think you wanted me to make the move.,HOWARD,LEONARD
197,"Well, if we accept your premise, and also accept the highly improbable assumption that Penny is the only woman in the world for you then we can logically conclude that the result of blowing it would be that you end up a lonely, bitter old man with no progeny. The image of any number of evil lighthouse keepers from Scooby Doo cartoons comes to mind.",SHELDON,LEONARD
198,And you’re wrong about Hinduism and cows.,SHELDON,SHELDON
199,"Good, good. Then you have nothing to worry about.",RAJ,SHELDON
200,Maybe this time he’s going to do it.,RAJ,LEONARD
201,"Well, then, maybe you shouldn’t have named her Wheelchair Kathy.",PENNY,SHELDON
202,I guess that would be all right.,OTHERS,PENNY
203,"Dude, that’s incredible!",RAJ,PENNY
204,"Fine. Candy bars. Now, do you enjoy a fun size? I know you do.",SHELDON,LEONARD
205,Meatloaf.,HOWARD,LEONARD
206,"Sheldon, women can wear make up, it’s not lying.",OTHERS,RAJ
207,Penny’s on the phone with her.,LEONARD,LEONARD
208,"If that’s a working stethoscope, maybe you’d like to hear my heart skip a beat.",HOWARD,SHELDON
209,"You’re probably right. So, what are you guys doing?",OTHERS,LEONARD
210,Sheldon doesn’t believe in brunch. He can’t stand being at a table where one person’s having an omelette and another person’s having a sandwich.,OTHERS,SHELDON
211,This is a whole lot of weird before coffee.,PENNY,SHELDON
212,It’s fusion.,PENNY,LEONARD
213,Just being the unsocialised eccentric my mother always thought I was.,SHELDON,SHELDON
214,"And for the world’s tallest second grader, apple juice.",PENNY,PENNY
215,What are you talking about? No one’s paying attention to you.,HOWARD,PENNY
216,"Yeah, exciting. Can I ask you something?",OTHERS,PENNY
217,Maybe it’s a lingering bacterial infection from all those childhood toilet swirlies.,LEONARD,LEONARD
218,"Leonard, wait. No. I listened to your dumb thing. Leonard, come back. Leonard, come back. Leonard, come back.",SHELDON,LEONARD
219,He sounds like a sociopath.,SHELDON,HOWARD
220,"Well, now…",LEONARD,SHELDON
221,I don’t think that’s what she’s saying.,OTHERS,SHELDON
222,Yeah. Okay. So?,PENNY,HOWARD
223,"Yeah! Dodgers are baseball, right?",LEONARD,PENNY
224,Call someone.,LEONARD,OTHERS
225,I think it’s the only way to look at it.,PENNY,LEONARD
226,"Ooh, it’s time for Babylon 5!",LEONARD,LEONARD
227,"Great. Tropicana, no pulp.",SHELDON,SHELDON
228,And Raj.,SHELDON,SHELDON
229,"Priya, do you know why this is called a toast?",SHELDON,LEONARD
230,We were hoping you’d know a place.,OTHERS,RAJ
231,"Come on, Sheldon, you can’t move. Don’t you need to stay in one place so the mother ship can find you when it returns?",PENNY,SHELDON
232,How did she know it was us?,LEONARD,SHELDON
233,Hi!,LEONARD,SHELDON
234,Why don’t we share it? We’ll each put in two hundred bucks and we’ll take turns having it in our homes.,HOWARD,LEONARD
235,"Uh, well, it’s just that the physicists I know are indoorsy and pale.",PENNY,HOWARD
236,"So, as a scientist, you believe the way to understand the universe is through facts and evidence, and now you’re counting on some blue chick with a hundred arms to help you?",HOWARD,SHELDON
237,"Yeah, sorry.",LEONARD,RAJ
238,"So, are you gonna give us a clue where we’re headed?",LEONARD,PENNY
239,"Come on, guys, push.",LEONARD,SHELDON
240,"It does. But in my experience, you don’t.",LEONARD,RAJ
241,"Revised ground rule number two, there are definitely stupid questions, and those who ask them can be told so right to their stupid face.",OTHERS,LEONARD
242,GPS says we’ll be at the railway in three hours.,SHELDON,LEONARD
243,That’s why I already cleaned up in here and all the other rooms in the hall.,RAJ,RAJ
244,It’s all right. I’ll see it again with you.,SHELDON,SHELDON
245,"I don’t care for your friend, he’s being rude to me. You need to ask him to leave.",OTHERS,PENNY
246,"I am saying it is not a compliment to call me doable. It’s not sexy to stare at my ass and say, “Ooh, it must be jelly ’cause jam don’t shake like that.” And most important, we are not dancing a tango, we’re not to’ing and fro’ing. Nothing is ever going to happen between us. Ever.",PENNY,SHELDON
247,"Fine, I will.",HOWARD,RAJ
248,I just can’t believe you signed up for the space program without even talking to me.,OTHERS,SHELDON
249,"In my present, it’s in the future. In your present, it’s been crammed in the bedroom by an enterprising young man I met in The Home Depot parking lot.",SHELDON,OTHERS
250,ghobe’,LEONARD,PENNY
251,"Oh, thank God.",LEONARD,LEONARD
252,"After we go through the exercise of an annoying series of votes, all of which the gentleman will lose, does he then intend to threaten to quit if he does not get his way?",LEONARD,LEONARD
253,Twenty six hundred years?,PENNY,RAJ
254,Hello.,OTHERS,LEONARD
255,"Oh, come on, the man torments me. I’m just letting him have a little taste of his own medicine.",HOWARD,LEONARD
256,"Oh, uh, yeah, I was trying to see if I could laugh as a woman.",LEONARD,HOWARD
257,"Well, I just don’t think you’re gonna have a good time.",LEONARD,LEONARD
258,I haven’t been on a job interview in years. I’m really nervous.,PENNY,PENNY
259,"We did it. Oh, if it’s this much fun to rotate, imagine when we fly it.",SHELDON,SHELDON
260,"The thought of you sitting in a darkened theatre with a character like Stuart is repellent. No offence, Stuart.",SHELDON,SHELDON
261,What happens if you don’t?,PENNY,PENNY
262,"Defcon 5? Well, there’s no need to rush.",SHELDON,SHELDON
263,Do you want me to go to the funeral with you?,OTHERS,OTHERS
264,What choice did I have? She went behind my back and turned my own mother against me.,HOWARD,LEONARD
265,Sheldon?,RAJ,RAJ
266,What if I knocked you unconscious right now?,LEONARD,HOWARD
267,It won’t. Let’s just promise to figure this kind of stuff out before we get married.,PENNY,LEONARD
268,Still doesn’t explain how you ended up on the freeway divider.,LEONARD,PENNY
269,"I’ve got some feelers out. In the meantime, listen to this.",RAJ,LEONARD
270,How many times do I have to tell you? I have no interest in this woman.,LEONARD,SHELDON
271,I get it. What do you want to do?,RAJ,LEONARD
272,"Awesome. Mine says, To my friend, Howard, from Stan Lee, Excelsior!",HOWARD,SHELDON
273,"Well, one of the things.",SHELDON,LEONARD
274,Plenty of time for you to meet another geriatric boy toy.,SHELDON,OTHERS
275,He wants butter!,OTHERS,OTHERS
276,"Um, well, Howard and Christie are… kind of… hooking up in my bedroom.",PENNY,SHELDON
277,"Oh, let’s do that.",HOWARD,SHELDON
278,They texted me.,LEONARD,PENNY
279,Outside? I just made cocoa.,SHELDON,LEONARD
280,"Let me ask you one first. What’s a world renowned entomologist with a doctorate and 20 years of experience to do with his life when the university cuts off the funding for his lab, huh?",OTHERS,PENNY
281,Sorry. I know you were just trying to help. I love you.,HOWARD,PENNY
282,"Oh, that’s too bad.",LEONARD,SHELDON
283,"I can’t even believe this. You know, maybe you should just go.",PENNY,PENNY
284,"Aaah, for God’s sake, Sheldon, you are driving me crazy.",LEONARD,SHELDON
285,"Electrons move through graphene, act as if they have no mass…",SHELDON,SHELDON
286,"Is there any evidence of fraud, bigamy, want of understanding?",OTHERS,HOWARD
287,Okay.,LEONARD,LEONARD
288,"Look, if you weren’t happy with my presentation then maybe you should have given it with me.",LEONARD,LEONARD
289,"Oh, he’ll be back. Wine and a girl in the dark, he’s gonna be bored out of his mind.",SHELDON,PENNY
290,Attaboy!,SHELDON,HOWARD
291,"Oh, certainly. Uh, when I was eight years old, Billy Sparks cornered me in the playground. I asked myself what would Spock do? Then I grabbed Billy on his shoulder and performed my first Vulcan nerve pinch.",SHELDON,LEONARD
292,"Yeah, no. But yet, here you two are, still together. And that’s even after you and I had our crazy naked night.",RAJ,SHELDON
293,Thank you for driving me.,SHELDON,PENNY
294,"Hey, you wanted a woman in your life. Now you got one.",HOWARD,LEONARD
295,Wait. There’s something I have to tell you.,OTHERS,OTHERS
296,What are we supposed to do?,HOWARD,PENNY
297,"Oh, right, bowling.",PENNY,LEONARD
298,"Just my wallet, keys and a coffee can full of change I’ve been meaning to take to the bank.",OTHERS,PENNY
299,"Yeah, in my house.",HOWARD,SHELDON
300,"Oh. Oh, in that case, it was pretty good.",SHELDON,LEONARD
301,"I wronged Howard, and he won’t accept my apology.",SHELDON,LEONARD
302,"And instead of standing around watching, you can help us build your smaller guidance system.",LEONARD,SHELDON
303,"Yeah, okay. That’s, uh, that’s good.",PENNY,SHELDON
304,"Shut up, Howard. Sheldon, we have to do this.",LEONARD,SHELDON
305,Screwed.,SHELDON,LEONARD
306,"That’s right. So stay on my good side, or I’ll get you a little something, too.",SHELDON,PENNY
307,"Wait, twice?",LEONARD,SHELDON
308,"Item 28, your pet name for me. Time’s running out on this. You need to make a decision.",OTHERS,LEONARD
309,"Actually, we met online.",SHELDON,LEONARD
310,"For the tenth time, my mittens were slippery!",LEONARD,SHELDON
311,"Age is a state of mind, Leonard. In here I’m 90. Why are you taking your bins over there?",SHELDON,SHELDON
312,Not in these pants.,SHELDON,SHELDON
313,"Hey, I didn’t see you giving back your Snoopy snowcone maker.",HOWARD,HOWARD
314,"So, are you and Leonard working on an experiment together?",PENNY,SHELDON
315,"And if that happens, we’ll never be able to sell it commercially.",HOWARD,SHELDON
316,"I do, of course I do.",LEONARD,SHELDON
317,"What are you saying, that you’re giving up on me? What kind of father gives up on his son?",RAJ,LEONARD
318,Now what?,HOWARD,PENNY
319,"I work at the Cheesecake Factory, I said bye.",PENNY,PENNY
320,"Wait, my laptop.",RAJ,PENNY
321,What makes a best Best Buy the best Best Buy?,OTHERS,SHELDON
322,We’re so sorry.,OTHERS,SHELDON
323,Not so fast. Infinite Sheldon.,SHELDON,LEONARD
324,"Da-da-da-da, da-da-da!",SHELDON,SHELDON
325,"Don’t worry, we won’t be doing much sleeping anyway. It’s like an all-night party. There’s trivia contests and Dungeons & Dragons. As we like to say, it’s off the chain mail.",LEONARD,PENNY
326,Great idea. I haven’t had a carbohydrate in two weeks. These cheekbones need to be in front of a camera before I eat a pretzel and they’re gone.,RAJ,LEONARD
327,See you.,LEONARD,SHELDON
328,"No, it’s completely fine. Hmm. I get it. Sheldon sent you. He put you up to this.",PENNY,PENNY
329,"That’s it, that’s the line.",LEONARD,SHELDON
330,"Carrie Fisher. And she’s a little crazy, so get ready to run.",OTHERS,SHELDON
331,But I worked hard to get this armour.,HOWARD,PENNY
332,Let’s get you to the hospital.,LEONARD,SHELDON
333,"Buddy, I think Amy might be upset.",LEONARD,OTHERS
334,"If you’d like, we can help you out.",HOWARD,SHELDON
335,I love that.,OTHERS,SHELDON
336,"Leonard, where do you stand on giant rabbits and scrotal position?",HOWARD,HOWARD
337,I know how to deal with stubborn children. My mother used to run an illegal day care centre in our basement.,OTHERS,SHELDON
338,I told you not to wax down there. It’s itchy when it grows back.,OTHERS,SHELDON
339,Dr. Hofstadter.,SHELDON,LEONARD
340,"Well, that’s enough of that. Sorry to interrupt. You two enjoy your date. Here’s a dollar for your troubles. Get yourself some Sour Patch Kids.",SHELDON,SHELDON
341,Are you saying that because the things are unspeakable?,SHELDON,RAJ
342,It’s all of ours.,RAJ,OTHERS
343,House? What house?,HOWARD,SHELDON
344,It’s not a big thing. Just think of me as a brown Martha Stewart.,RAJ,LEONARD
345,"Yes, we could use science. But it’s your bachelor party. Lighten up.",SHELDON,HOWARD
346,She does. 42 minutes in.,SHELDON,HOWARD
347,Can I stay here tonight?,OTHERS,PENNY
348,"Ooh, you just chose champions. It’s like we’re re-enacting the ancient German practice of trial by combat.",OTHERS,LEONARD
349,"Actually, I did get you something.",OTHERS,RAJ
350,But I used science to construct the perfect joke.,SHELDON,LEONARD
351,No kidding.,LEONARD,SHELDON
352,That was kind of uncalled for.,OTHERS,PENNY
353,He’s using some kind of dating app on his phone.,OTHERS,PENNY
354,"You know what? At least you guys did something. You know, you, you had a theory, you wrote a paper, you made an actual contribution. All guys like this do is just stand on other people’s work.",RAJ,SHELDON
355,"Well, you know how Amy’s the coolest girl on campus, right?",OTHERS,SHELDON
356,"Yeah. Like when you took Sheldon to Texas and showed him all around NASA, you didn’t even think to ask me and Leonard.",RAJ,LEONARD
357,Hey. Is everyone getting to know each other?,PENNY,HOWARD
358,Then I have to sit through lunch knowing this starfish is having a better day than I am. Is Bernadette meeting us at the restaurant?,OTHERS,RAJ
359,"I’m in a hot tub with you, so pretty bad.",RAJ,PENNY
360,"Sheldon, your fight’s with Leonard. Penny’s got nothing to do…",OTHERS,SHELDON
361,"Uh, sorry, Raj. Howard and I are going out to dinner with Penny and Bernadette.",LEONARD,SHELDON
362,"No, that was the result of my work with lasers.",SHELDON,HOWARD
363,I am making molecular cocktails. This sphere is actually a cosmopolitan.,HOWARD,OTHERS
364,Ow. That was your fault.,SHELDON,PENNY
365,I think what he’s trying to say is that maybe in high school you picked on me a little bit.,LEONARD,PENNY
366,"Okay, on thwee, Cooper and Koothwappawi advance, the other two wetweat. One, two, thwee. Vewy good. Switch it up. One, two, thwee. Switch again. One, two, thwee.  Excuse me. Can I call you back? No, I’m teaching a cwass. Sure. Sure. An hour, tops. Yeah. Okay. Okay. Yeah. Okay. Thanks. And one, two, thwee.",OTHERS,SHELDON
367,"For the record, I do have genitals. They’re functional and aesthetically pleasing.",SHELDON,HOWARD
368,I always catch your drift.,OTHERS,SHELDON
369,Does that mean you’ve ruled me out as a suspect?,LEONARD,SHELDON
370,I don’t mind. I’m hoping to put his love of repetition to good use someday.,OTHERS,SHELDON
371,"And just so you know, it’s only temporary. I’m not gonna get too comfortable.",RAJ,RAJ
372,"Well, I’ve always had this fantasy that involves dancing. The sexual chemistry between my partner and me is electric. But boy, oh, boy, does my father not approve until he sees us in the big dance competition.",RAJ,LEONARD
373,But the movie did just get good.,HOWARD,LEONARD
374,And how could a chimp even solve that? That was impossible.,LEONARD,PENNY
375,I’ve been seeing Penny behind your back.,SHELDON,SHELDON
376,"Leonard, you have to do something about Penny. She is interfering with my sleep, she’s interfering with my work, and if I had another significant aspect of my life, I’m sure she’d be interfering with that too.",SHELDON,OTHERS
377,What?,PENNY,PENNY
378,Okay.,HOWARD,SHELDON
