,Episodes,Episode_Names,Characters,Lines,Season
124,101,Monica Gets A Roommate,CHANDLER,oh god,1
125,101,Monica Gets A Roommate,MONICA,oh god,1
126,101,Monica Gets A Roommate,PAUL,know know i'm idiot guess caught start go dentist four five time week mean clean teeth get,1
127,101,Monica Gets A Roommate,MONICA,brother's go right he's mess get,1
128,101,Monica Gets A Roommate,PAUL,well might try accidentally break something valuable say,1
129,101,Monica Gets A Roommate,MONICA,leg,1
130,101,Monica Gets A Roommate,PAUL,that's one way go watch,1
131,101,Monica Gets A Roommate,MONICA,actually break watch wow bad thing ever i-i shredded boyfriend's favorite bath towel,1
132,101,Monica Gets A Roommate,PAUL,ooh steer clear,1
133,101,Monica Gets A Roommate,MONICA,that's right,1
134,101,Monica Gets A Roommate,RACHEL,barry i'm sorry sorry know probably think say day make love sock ju hi machine cut anyway...look look know girl go incredibly lucky become mr barry finkel idea right give chance,1
135,101,Monica Gets A Roommate,ROSS,i'm divorce i'm i'm divorce,1
136,101,Monica Gets A Roommate,JOEY,shut,1
137,101,Monica Gets A Roommate,CHANDLER,must stop,1
138,101,Monica Gets A Roommate,ROSS,take hour,1
139,101,Monica Gets A Roommate,CHANDLER,look ross gotta understand relationship last longer mento however love woman four year four year closeness share end rip heart think point,1
140,101,Monica Gets A Roommate,ROSS,know scary part there's one woman everybody y'know mean get one woman that's unfortunately case one woman,1
141,101,Monica Gets A Roommate,JOEY,talk one woman that's like say there's one flavor ice cream lemme tell something ross there's lot flavor there's rocky road cookie dough bing cherry vanilla could get em jimmy nut whip cream best thing ever happen get marry like eight welcome back world grab spoon,1
142,101,Monica Gets A Roommate,ROSS,honestly know i'm hungry horny,1
143,101,Monica Gets A Roommate,CHANDLER,stay freezer,1
144,101,Monica Gets A Roommate,PAUL,ever since walk uh,1
145,101,Monica Gets A Roommate,MONICA,wanna spell noodle,1
146,101,Monica Gets A Roommate,PAUL,fifth date kinda revelation,1
147,101,Monica Gets A Roommate,MONICA,oh gonna fifth date,1
149,101,Monica Gets A Roommate,MONICA,yeah yeah think gonna say,1
150,101,Monica Gets A Roommate,PAUL,well ever-ev ever since leave um able uh perform sexually,1
151,101,Monica Gets A Roommate,MONICA,oh god oh god sorry sorry,1
152,101,Monica Gets A Roommate,PAUL,okay,1
153,101,Monica Gets A Roommate,MONICA,know spit probably need right um long,1
154,101,Monica Gets A Roommate,PAUL,two year,1
155,101,Monica Gets A Roommate,MONICA,wow i'm-i'm-i'm glad smash watch,1
156,101,Monica Gets A Roommate,PAUL,still think um might want fifth date,1
157,101,Monica Gets A Roommate,MONICA,yeah yeah,1
158,101,Monica Gets A Roommate,RACHEL,oh...see joanne love chachi that's difference,1
159,101,Monica Gets A Roommate,ROSS,grab spoon know long since i've grab spoon word billy hero mean anything,1
160,101,Monica Gets A Roommate,JOEY,great story uh gotta go got date andrea--angela--andrea oh man,1
161,101,Monica Gets A Roommate,CHANDLER,angela's screamer andrea cat,1
162,101,Monica Gets A Roommate,JOEY,right thanks june i'm outta,1
163,101,Monica Gets A Roommate,ROSS,y'know here's thing even could get together enough ask woman gonna ask,1
164,101,Monica Gets A Roommate,RACHEL,amaze mean never make coffee entire life,1
165,101,Monica Gets A Roommate,CHANDLER,amaze,1
166,101,Monica Gets A Roommate,JOEY,congratulation,1
167,101,Monica Gets A Roommate,RACHEL,y'know figure make coffee anything can't,1
168,101,Monica Gets A Roommate,CHANDLER,invade poland anything can't,1
169,101,Monica Gets A Roommate,JOEY,listen roll feel like gotta make like western omelet something although actually i'm really hungry,1
170,101,Monica Gets A Roommate,MONICA,oh good lenny squigy,1
171,101,Monica Gets A Roommate,ALL,morning good morning,1
172,101,Monica Gets A Roommate,PAUL,morning,1
173,101,Monica Gets A Roommate,JOEY,morning paul,1
174,101,Monica Gets A Roommate,RACHEL,hello paul,1
175,101,Monica Gets A Roommate,CHANDLER,hi paul,1
176,101,Monica Gets A Roommate,PAUL,thank thank much,1
177,101,Monica Gets A Roommate,MONICA,stop,1
178,101,Monica Gets A Roommate,PAUL,i'm tell last night like umm birthday graduation plus barn raise scene witness,1
179,101,Monica Gets A Roommate,MONICA,we'll talk later,1
180,101,Monica Gets A Roommate,PAUL,yeah thank,1
181,101,Monica Gets A Roommate,JOEY,real date hell real date,1
182,101,Monica Gets A Roommate,MONICA,shut put table back,1
183,101,Monica Gets A Roommate,ALL,okayyy,1
184,101,Monica Gets A Roommate,CHANDLER,right kid gotta get work input number make much difference,1
185,101,Monica Gets A Roommate,RACHEL,like guy job,1
186,101,Monica Gets A Roommate,MONICA,yeah job see that's buy stuff,1
187,101,Monica Gets A Roommate,JOEY,yeah i'm actor,1
188,101,Monica Gets A Roommate,RACHEL,wow would see anything,1
189,101,Monica Gets A Roommate,JOEY,doubt mostly regional work,1
190,101,Monica Gets A Roommate,MONICA,oh wait wait unless happen catch rerun production pinocchio little theater park,1
191,101,Monica Gets A Roommate,JOEY,look job right,1
192,101,Monica Gets A Roommate,CHANDLER,look gippetto i'm real live boy,1
193,101,Monica Gets A Roommate,JOEY,take abuse,1
194,101,Monica Gets A Roommate,CHANDLER,right i'm sorry wooden boy little wooden boy,1
195,101,Monica Gets A Roommate,JOEY,know he's dead man oh chandler,1
196,101,Monica Gets A Roommate,MONICA,today sleep okay talk barry can't stop smiling,1
197,101,Monica Gets A Roommate,RACHEL,see look like slept hanger mouth,1
198,101,Monica Gets A Roommate,MONICA,know he's remember tony demarco,1
199,101,Monica Gets A Roommate,RACHEL,oh yeah,1
200,101,Monica Gets A Roommate,MONICA,well like feeling,1
201,101,Monica Gets A Roommate,RACHEL,oh wow trouble,1
202,101,Monica Gets A Roommate,MONICA,big time,1
203,101,Monica Gets A Roommate,RACHEL,want wedding dress hardly use,1
204,101,Monica Gets A Roommate,MONICA,think get little ahead selves okay okay go get go work think day else i'm gonna get go work,1
205,101,Monica Gets A Roommate,RACHEL,oh look wish luck,1
207,101,Monica Gets A Roommate,RACHEL,i'm gonna go get one job thing,1
208,101,Monica Gets A Roommate,FRANNIE,hey monica,1
209,101,Monica Gets A Roommate,MONICA,hey frannie welcome back florida,1
210,101,Monica Gets A Roommate,FRANNIE,sex,1
212,101,Monica Gets A Roommate,FRANNIE,oh hate i'm push aunt roz parrot jungle sex,1
213,101,Monica Gets A Roommate,MONICA,know paul,1
214,101,Monica Gets A Roommate,FRANNIE,paul wine guy oh yeah know paul,1
215,101,Monica Gets A Roommate,MONICA,mean know paul like know paul,1
216,101,Monica Gets A Roommate,FRANNIE,kid take credit paul y'know snap turtle two year,1
217,101,Monica Gets A Roommate,JOEY,course line,1
218,101,Monica Gets A Roommate,MONICA,would anybody something like,1
219,101,Monica Gets A Roommate,ROSS,assume we're look answer sophisticated get bed,1
220,101,Monica Gets A Roommate,MONICA,hate men hate men,1
221,101,Monica Gets A Roommate,PHOEBE,oh hate want put universe,1
222,101,Monica Gets A Roommate,MONICA,like sort beacon dog men severe emotional problem hear,1
223,101,Monica Gets A Roommate,PHOEBE,right c'mere gimme foot,1
224,101,Monica Gets A Roommate,MONICA,think nice y'know,1
225,101,Monica Gets A Roommate,JOEY,can't believe know line,1
226,101,Monica Gets A Roommate,RACHEL,guess,1
227,101,Monica Gets A Roommate,ROSS,get job,1
228,101,Monica Gets A Roommate,RACHEL,kid i'm train nothing laugh twelve interview today,1
229,101,Monica Gets A Roommate,CHANDLER,yet surprisingly upbeat,1
230,101,Monica Gets A Roommate,RACHEL,would find john david boot sale fifty percent,1
231,101,Monica Gets A Roommate,CHANDLER,oh well know,1
232,101,Monica Gets A Roommate,RACHEL,they're new need job need parent i've get great boot boot,1
233,101,Monica Gets A Roommate,MONICA,how'd pay,1
234,101,Monica Gets A Roommate,RACHEL,uh credit card,1
235,101,Monica Gets A Roommate,MONICA,pay,1
236,101,Monica Gets A Roommate,RACHEL,um father,1
237,101,Monica Gets A Roommate,RACHEL,oh god come guy really necessary mean stop charge anytime want,1
238,101,Monica Gets A Roommate,MONICA,c'mon can't live parent whole life,1
239,101,Monica Gets A Roommate,RACHEL,know that's get marry,1
240,101,Monica Gets A Roommate,PHOEBE,give break hard first time,1
241,101,Monica Gets A Roommate,RACHEL,thank,1
242,101,Monica Gets A Roommate,PHOEBE,welcome remember first come city fourteen mom kill step-dad back prison get know anybody end living albino guy like clean windshield outside port authority kill find aromatherapy believe know exactly feel,1
243,101,Monica Gets A Roommate,ROSS,word look anyway,1
244,101,Monica Gets A Roommate,MONICA,right ready,1
245,101,Monica Gets A Roommate,RACHEL,i'm ready ready hey rach ready jump airplane without parachute come can't,1
246,101,Monica Gets A Roommate,MONICA,know,1
247,101,Monica Gets A Roommate,RACHEL,think,1
248,101,Monica Gets A Roommate,ROSS,come make coffee anything,1
249,101,Monica Gets A Roommate,ROSS,c'mon cut cut cut cut,1
250,101,Monica Gets A Roommate,ALL,cut cut cut cut cut cut cut,1
251,101,Monica Gets A Roommate,RACHEL,y'know think leave kinda like symbolic gesture,1
252,101,Monica Gets A Roommate,MONICA,rachel library card,1
253,101,Monica Gets A Roommate,ALL,cut cut cut cut cut cut cut,1
254,101,Monica Gets A Roommate,CHANDLER,y'know listen closely hear thousand retailer scream,1
255,101,Monica Gets A Roommate,MONICA,welcome real world suck gonna love,1
256,101,Monica Gets A Roommate,MONICA,well that's gonna crash couch,1
257,101,Monica Gets A Roommate,ROSS,gotta go home sometime,1
258,101,Monica Gets A Roommate,MONICA,okay,1
259,101,Monica Gets A Roommate,ROSS,yeah,1
260,101,Monica Gets A Roommate,RACHEL,hey mon look found floor,1
261,101,Monica Gets A Roommate,MONICA,that's paul's watch put back found oh boy alright goodnight everybody,1
262,101,Monica Gets A Roommate,ROSS,mmm oh,1
263,101,Monica Gets A Roommate,RACHEL,sorry,1
264,101,Monica Gets A Roommate,ROSS,go,1
265,101,Monica Gets A Roommate,RACHEL,really want,1
266,101,Monica Gets A Roommate,ROSS,split,1
267,101,Monica Gets A Roommate,RACHEL,okay,1
268,101,Monica Gets A Roommate,ROSS,okay know probably know back high school um major crush,1
269,101,Monica Gets A Roommate,RACHEL,knew,1
270,101,Monica Gets A Roommate,ROSS,oh always figure thought monica's geeky old brother,1
272,101,Monica Gets A Roommate,ROSS,oh listen think try let intense vulnerability become kind factor think would okay ask sometime maybe,1
273,101,Monica Gets A Roommate,RACHEL,yeah maybe,1
274,101,Monica Gets A Roommate,ROSS,okay okay maybe,1
275,101,Monica Gets A Roommate,RACHEL,goodnight,1
276,101,Monica Gets A Roommate,ROSS,goodnight,1
277,101,Monica Gets A Roommate,MONICA,see ya waitwait what's,1
278,101,Monica Gets A Roommate,ROSS,grab spoon,1
279,101,Monica Gets A Roommate,JOEY,can't believe i'm hearing,1
280,101,Monica Gets A Roommate,PHOEBE,can't believe i'm hearing,1
281,101,Monica Gets A Roommate,MONICA,i-i say,1
282,101,Monica Gets A Roommate,PHOEBE,say,1
283,101,Monica Gets A Roommate,MONICA,would stop,1
284,101,Monica Gets A Roommate,PHOEBE,oh,1
285,101,Monica Gets A Roommate,ALL,yes,1
286,101,Monica Gets A Roommate,MONICA,say nice butt great butt,1
287,101,Monica Gets A Roommate,JOEY,oh know great butt come bit ya,1
288,101,Monica Gets A Roommate,ROSS,there's image,1
289,101,Monica Gets A Roommate,RACHEL,would anybody like coffee,1
290,101,Monica Gets A Roommate,CHANDLER,make serving,1
291,101,Monica Gets A Roommate,RACHEL,i'm serve,1
292,101,Monica Gets A Roommate,ALL,yeah yeah i'll cup coffee,1
293,101,Monica Gets A Roommate,CHANDLER,kid new dream i'm la vega,1
294,101,Monica Gets A Roommate,CUSTOMER,ahh miss coffee,1
295,101,Monica Gets A Roommate,RACHEL,ugh excuse could give guy go ahead thank sorry okay la vega,1
296,101,Monica Gets A Roommate,CHANDLER,okay i'm la vegas i'm liza minelli,1
297,102,The Sonogram At The End,MONICA,guy understand kiss important part,1
298,102,The Sonogram At The End,JOEY,yeah right!.......y'serious,1
299,102,The Sonogram At The End,PHOEBE,oh yeah,1
300,102,The Sonogram At The End,RACHEL,everything need know first kiss,1
301,102,The Sonogram At The End,MONICA,absolutely,1
302,102,The Sonogram At The End,CHANDLER,yeah think kiss pretty much like open act y'know mean like stand-up comedian sit pink floyd come,1
303,102,The Sonogram At The End,ROSS,yeah and-and like comedian that-that that's buy ticket,1
304,102,The Sonogram At The End,CHANDLER,problem though concert's matter great show girl always look comedian y'know mean we're car we're fight traffic basically try stay awake,1
305,102,The Sonogram At The End,RACHEL,yeah well word advice,1
306,102,The Sonogram At The End,JOEY,still talk sex,1
307,102,The Sonogram At The End,ROSS,good good mm seem little angry,1
308,102,The Sonogram At The End,MARSHA,well issue,1
310,102,The Sonogram At The End,MARSHA,he's bang woman head club sit home try get mastodon smell carpet,1
311,102,The Sonogram At The End,ROSS,marsha cave people okay issue like gee glacier's get kinda close see,1
312,102,The Sonogram At The End,MARSHA,speak issue ex-wife,1
314,102,The Sonogram At The End,MARSHA,yes carol hi,1
315,102,The Sonogram At The End,ROSS,okay okay yes i'll uh catch ice age,1
316,102,The Sonogram At The End,ROSS,hi,1
318,102,The Sonogram At The End,ROSS,look great uh hate,1
319,102,The Sonogram At The End,CAROL,sorry look good,1
320,102,The Sonogram At The End,ROSS,ah well anyone stand erect what's new still uh,1
321,102,The Sonogram At The End,CAROL,lesbian,1
322,102,The Sonogram At The End,ROSS,well never know how's um how's family,1
323,102,The Sonogram At The End,CAROL,marty's still totally paranoid oh uh,1
324,102,The Sonogram At The End,ROSS,carol,1
325,102,The Sonogram At The End,CAROL,i'm pregnant,1
326,102,The Sonogram At The End,ROSS,pregnant,1
327,102,The Sonogram At The End,CHANDLER,oh think episode three's company there's kind misunderstanding,1
328,102,The Sonogram At The End,PHOEBE,i've already see one,1
330,102,The Sonogram At The End,JOEY,yeah sorry swallow slow,1
331,102,The Sonogram At The End,MONICA,whose little ball paper,1
332,102,The Sonogram At The End,CHANDLER,oh uh would mine see write note realise need ball wish dead,1
333,102,The Sonogram At The End,PHOEBE,already fluff pillow monica know already fluff fine,1
334,102,The Sonogram At The End,MONICA,look i'm sorry guy wanna give ammunition already,1
335,102,The Sonogram At The End,CHANDLER,yes know cruel parent flatness child's pillow,1
336,102,The Sonogram At The End,PHOEBE,monica hi um monica scar mean like like chaotic twirly not-not good way,1
337,102,The Sonogram At The End,JOEY,yeah calm see ross get chaotic twirly every time come,1
338,102,The Sonogram At The End,MONICA,that's far parent concerned ross wrong y'see he's prince apparently big ceremony born,1
339,102,The Sonogram At The End,CHANDLER,ew ew ew ew ew ew ew ew,1
341,102,The Sonogram At The End,CHANDLER,ugly naked guy get thighmaster,1
342,102,The Sonogram At The End,ALL,eeaagh,1
343,102,The Sonogram At The End,RACHEL,anybody see engagement ring,1
344,102,The Sonogram At The End,PHOEBE,yeah beautiful,1
345,102,The Sonogram At The End,RACHEL,oh god oh god oh god oh god oh god oh god,1
346,102,The Sonogram At The End,PHOEBE,look touch,1
347,102,The Sonogram At The End,RACHEL,oh like dread tomorrow enough give back hi barry remember i'm girl veil stomp heart front entire family oh god i'm gonna return ring without ring make much hard,1
348,102,The Sonogram At The End,MONICA,easy rach we'll find,1
349,102,The Sonogram At The End,JOEY,alright when'd'ya last,1
350,102,The Sonogram At The End,PHOEBE,doy probably right lose,1
351,102,The Sonogram At The End,CHANDLER,get lot doy day,1
352,102,The Sonogram At The End,RACHEL,know morning know kitchen,1
353,102,The Sonogram At The End,CHANDLER,dinah,1
354,102,The Sonogram At The End,RACHEL,ohhhhh mad,1
356,102,The Sonogram At The End,RACHEL,oh sorry,1
357,102,The Sonogram At The End,MONICA,give one job,1
358,102,The Sonogram At The End,RACHEL,oh look straight noodle,1
359,102,The Sonogram At The End,CHANDLER,monica know that's look engagement ring lasagne,1
360,102,The Sonogram At The End,MONICA,can't,1
361,102,The Sonogram At The End,CHANDLER,boy we're go,1
362,102,The Sonogram At The End,ROSS,hi,1
363,102,The Sonogram At The End,MONICA,wow happy hi,1
364,102,The Sonogram At The End,ROSS,carol's pregnant,1
365,102,The Sonogram At The End,PHOEBE,ooh find,1
366,102,The Sonogram At The End,MONICA,w-w-wh wha w-w-w,1
367,102,The Sonogram At The End,ROSS,yeah another two hour might right,1
368,102,The Sonogram At The End,CHANDLER,kinda put whole pillow thing perspective huh mon,1
369,102,The Sonogram At The End,RACHEL,well how-how fit whole thing,1
370,102,The Sonogram At The End,ROSS,well carol say susan want involve i'm comfortable involve basically entirely,1
371,102,The Sonogram At The End,PHOEBE,great miss,1
372,102,The Sonogram At The End,MONICA,mean involve,1
373,102,The Sonogram At The End,CHANDLER,mean presumably big part job do,1
374,102,The Sonogram At The End,ROSS,anyway want go sonogram thing tomorrow,1
375,102,The Sonogram At The End,RACHEL,gonna,1
376,102,The Sonogram At The End,ROSS,idea matter though i'm still gonna father,1
377,102,The Sonogram At The End,JOEY,well still ruin right,1
378,102,The Sonogram At The End,MONICA,curry,1
379,102,The Sonogram At The End,ROSS,think they're great really,1
380,102,The Sonogram At The End,ROSS,aw mom,1
381,102,The Sonogram At The End,MONICA,i'm sorry girl go call,1
382,102,The Sonogram At The End,MONICA,mom restaurant work restaurant,1
383,102,The Sonogram At The End,MONICA,ross could come help spaghetti please,1
384,102,The Sonogram At The End,ROSS,yeah,1
385,102,The Sonogram At The End,MONICA,know go sound unbelievably selfish plan bring whole baby/lesbian thing think might take heat,1
386,102,The Sonogram At The End,MONICA,what's suppose mean,1
388,102,The Sonogram At The End,MONICA,ross what's go story news little anecdote share folk,1
389,102,The Sonogram At The End,ROSS,okay okay look uh realise guy wonder exactly happen carol well here's deal carol's lesbian living woman name susan pregnant child susan go raise baby,1
390,102,The Sonogram At The End,JOEY,folk really bad huh,1
391,102,The Sonogram At The End,ROSS,well y'know people pro know they're take time get job do,1
392,102,The Sonogram At The End,MONICA,boy know say can't change parent boy could i'd want,1
393,102,The Sonogram At The End,ROSS,must pee,1
394,102,The Sonogram At The End,PHOEBE,y'know even bad twin,1
395,102,The Sonogram At The End,RACHEL,twin,1
396,102,The Sonogram At The End,PHOEBE,yeah speak like high-powered driven career type,1
398,102,The Sonogram At The End,PHOEBE,waitress,1
399,102,The Sonogram At The End,RACHEL,right guy kinda gotta clean,1
400,102,The Sonogram At The End,MONICA,chandler child right,1
401,102,The Sonogram At The End,CHANDLER,well although imaginary friend parent actually prefer,1
402,102,The Sonogram At The End,RACHEL,light please,1
403,102,The Sonogram At The End,ROSS,long,1
404,102,The Sonogram At The End,RACHEL,i'm cleaning,1
405,102,The Sonogram At The End,ROSS,d'ya uh d'ya need help,1
406,102,The Sonogram At The End,RACHEL,uh okay sure thanks,1
407,102,The Sonogram At The End,ROSS,anyway um uh nervous barry tomorrow,1
408,102,The Sonogram At The End,RACHEL,oh little,1
409,102,The Sonogram At The End,ROSS,mm-hmm,1
410,102,The Sonogram At The End,RACHEL,lot,1
411,102,The Sonogram At The End,ROSS,mm,1
412,102,The Sonogram At The End,RACHEL,get advice y'know someone who's recently dump,1
