,season,episode,episode_name,speaker,dialogue
151,1,1,Pilot Episode,SHELDON,take four year get high school
152,1,1,Pilot Episode,LEONARD,don’t
153,1,1,Pilot Episode,PENNY,can’t believe trust
154,1,1,Pilot Episode,LEONARD,say something feel like say something
155,1,1,Pilot Episode,SHELDON,you’ll make bad
156,1,1,Pilot Episode,PENNY,want know pathetic part even though hate lie cheating gut still love crazy
157,1,1,Pilot Episode,SHELDON,yes
158,1,1,Pilot Episode,LEONARD,it’s crazy it’s uh uh it’s paradox paradox part nature think light look huygens light wave confirm double slit experiment along come albert einstein discovers light behaves like particle well didn’t make bad
159,1,1,Pilot Episode,PENNY,oh i’m sorry i’m mess top everything else i’m gross move stupid shower doesn’t even work
160,1,1,Pilot Episode,LEONARD,shower work
161,1,1,Pilot Episode,PENNY,really would totally weird use
162,1,1,Pilot Episode,SHELDON,yes
167,1,1,Pilot Episode,LEONARD,it’s right hall
168,1,1,Pilot Episode,PENNY,thanks guy really sweet
169,1,1,Pilot Episode,SHELDON,well interesting development
171,1,1,Pilot Episode,SHELDON,time since we’ve woman take clothes apartment
172,1,1,Pilot Episode,LEONARD,that’s true remember thanksgiving grandmother alzheimer’s episode
173,1,1,Pilot Episode,SHELDON,point take time since we’ve woman take clothes didn’t want rip eye
174,1,1,Pilot Episode,LEONARD,bad part watch carve turkey
175,1,1,Pilot Episode,SHELDON,exactly try accomplish
176,1,1,Pilot Episode,LEONARD,excuse
177,1,1,Pilot Episode,SHELDON,woman there’s go sex
178,1,1,Pilot Episode,LEONARD,well i’m try sex
179,1,1,Pilot Episode,SHELDON,oh good won’t disappoint
180,1,1,Pilot Episode,LEONARD,make think wouldn’t sex i’m male she’s female
181,1,1,Pilot Episode,SHELDON,yes specie
182,1,1,Pilot Episode,LEONARD,i’m go engage hypothetical i’m try good neighbour
183,1,1,Pilot Episode,SHELDON,oh course
184,1,1,Pilot Episode,LEONARD,that’s say carnal relationship develop wouldn’t participate however briefly
185,1,1,Pilot Episode,SHELDON,think possibility help hindered discovers luke skywalker no-more-tears shampoo
186,1,1,Pilot Episode,LEONARD,it’s darth vader shampoo luke skywalker’s conditioner
187,1,1,Pilot Episode,HOWARD,wait till see
188,1,1,Pilot Episode,RAJ,it’s fantastic unbelievable
189,1,1,Pilot Episode,LEONARD,see
190,1,1,Pilot Episode,HOWARD,it’s stephen hawk lecture mit
191,1,1,Pilot Episode,LEONARD,good time
192,1,1,Pilot Episode,HOWARD,it’s become creepy computer voice
193,1,1,Pilot Episode,LEONARD,that’s great guy go
195,1,1,Pilot Episode,LEONARD,it’s good time
196,1,1,Pilot Episode,SHELDON,leonard lady
197,1,1,Pilot Episode,HOWARD,yeah right grandmother back town
198,1,1,Pilot Episode,LEONARD,she’s lady she’s new neighbour
199,1,1,Pilot Episode,HOWARD,hang really lady
200,1,1,Pilot Episode,LEONARD,uh-huh
201,1,1,Pilot Episode,HOWARD,want you’re anticipate coitus
202,1,1,Pilot Episode,LEONARD,i’m anticipate coitus
203,1,1,Pilot Episode,HOWARD,she’s available coitus
204,1,1,Pilot Episode,LEONARD,please stop say coitus
205,1,1,Pilot Episode,SHELDON,technically would coitus interruptus
206,1,1,Pilot Episode,PENNY,hey trick get switch tub shower oh hi sorry hello
207,1,1,Pilot Episode,HOWARD,enchante madamoiselle howard wolowitz cal-tech department apply physic may familiar work it’s currently orbit jupiter’s large moon take high-resolution digital photograph
208,1,1,Pilot Episode,PENNY,penny work cheesecake factory
209,1,1,Pilot Episode,LEONARD,come i’ll show trick shower
210,1,1,Pilot Episode,HOWARD,bon douche
211,1,1,Pilot Episode,PENNY,i’m sorry
212,1,1,Pilot Episode,HOWARD,it’s french good shower it’s sentiment express six language
213,1,1,Pilot Episode,LEONARD,save blog howard
214,1,1,Pilot Episode,HOWARD,see-ka-tong-guay-jow
215,1,1,Pilot Episode,LEONARD,uh go stick i’m sorry
216,1,1,Pilot Episode,PENNY,okay thanks
217,1,1,Pilot Episode,LEONARD,you’re welcome oh you’re go step right okay i’ll…
218,1,1,Pilot Episode,PENNY,hey leonard
219,1,1,Pilot Episode,LEONARD,hair product sheldon’s
220,1,1,Pilot Episode,PENNY,um okay ask favour
221,1,1,Pilot Episode,LEONARD,favour sure ask favour would favour
222,1,1,Pilot Episode,PENNY,it’s okay say
223,1,1,Pilot Episode,LEONARD,oh i’ll probably say yes
224,1,1,Pilot Episode,PENNY,it’s kind thing ask guy you’ve meet
225,1,1,Pilot Episode,LEONARD,wow
226,1,1,Pilot Episode,SHELDON,really think examine chain causality
227,1,1,Pilot Episode,LEONARD,must
228,1,1,Pilot Episode,SHELDON,event beautiful woman stand naked shower event drive half way across town retrieve television set aforementioned woman’s ex-boyfriend query plane existence even semi-rational link event
229,1,1,Pilot Episode,LEONARD,ask favour sheldon
230,1,1,Pilot Episode,SHELDON,ah yes well may proximal cause journey know exist contradistinction high level distal cause
232,1,1,Pilot Episode,SHELDON,think penis
233,1,1,Pilot Episode,LEONARD,that’s biological impossibility didn’t come
234,1,1,Pilot Episode,SHELDON,oh right yes could stay behind watched wolowitz try hit penny russian arabic farsi can’t get tv
235,1,1,Pilot Episode,LEONARD,come know break-ups
236,1,1,Pilot Episode,SHELDON,don’t neither
237,1,1,Pilot Episode,LEONARD,wuh break joyce kim
238,1,1,Pilot Episode,SHELDON,break joyce kim defect north korea
239,1,1,Pilot Episode,LEONARD,mend broken heart situation much less complicated there’s kind dispute penny ex-boyfriend get custody tv want avoid scene
240,1,1,Pilot Episode,SHELDON,get scene
241,1,1,Pilot Episode,LEONARD,sheldon there’s go scene there’s two one
242,1,1,Pilot Episode,SHELDON,leonard two can’t even carry tv
243,1,1,Pilot Episode,RAJ,guy work leonard sheldon university
244,1,1,Pilot Episode,PENNY,uh i’m sorry speak english
245,1,1,Pilot Episode,HOWARD,oh speaks english can’t speak woman
246,1,1,Pilot Episode,PENNY,really
247,1,1,Pilot Episode,HOWARD,he’s kind nerd juice box
248,1,1,Pilot Episode,LEONARD,hi i’m leonard sheldon
249,1,1,Pilot Episode,SHELDON,hello
250,1,1,Pilot Episode,LEONARD,just… uh we’re pick penny’s tv
251,1,1,Pilot Episode,SHELDON,okay thanks time
252,1,1,Pilot Episode,LEONARD,we’re go give like
253,1,1,Pilot Episode,SHELDON,leonard tv building we’ve deny access building ergo do
254,1,1,Pilot Episode,LEONARD,excuse give first little hitch never would able identify fingerprint string theory aftermath big bang
255,1,1,Pilot Episode,SHELDON,apology what’s plan
256,1,1,Pilot Episode,SHELDON,it’s privilege watch mind work
257,1,1,Pilot Episode,LEONARD,come combine iq able figure get stupid building
258,1,1,Pilot Episode,SHELDON,think combine iq
259,1,1,Pilot Episode,LEONARD,grab door
260,1,1,Pilot Episode,LEONARD,i’ll talk
261,1,1,Pilot Episode,SHELDON,good thinking i’ll muscle
262,1,1,Pilot Episode,LEONARD,i’m leonard sheldon
263,1,1,Pilot Episode,SHELDON,intercom
264,1,1,Pilot Episode,LEONARD,oh we’re scientist
265,1,1,Pilot Episode,SHELDON,tell iq
266,1,1,Pilot Episode,SHELDON,leonard
268,1,1,Pilot Episode,SHELDON,mom buy pant
269,1,1,Pilot Episode,LEONARD,i’m sorry
270,1,1,Pilot Episode,SHELDON,you’re go call
271,1,1,Pilot Episode,LEONARD,sheldon i’m sorry drag
272,1,1,Pilot Episode,SHELDON,it’s okay wasn’t first pant won’t last
273,1,1,Pilot Episode,LEONARD,right motif hop establish relationship penny might day lead sex
274,1,1,Pilot Episode,SHELDON,well get pant
275,1,1,Pilot Episode,LEONARD,anyway i’ve learn lesson she’s league i’m do i’ve get work one day i’ll win nobel prize i’ll die alone
276,1,1,Pilot Episode,SHELDON,don’t think like you’re go die alone
277,1,1,Pilot Episode,LEONARD,thank sheldon you’re good friend
278,1,1,Pilot Episode,SHELDON,you’re certainly go win nobel prize
279,1,1,Pilot Episode,HOWARD,one favourite place kick back quest great house ale
280,1,1,Pilot Episode,PENNY,wow cool tiger
281,1,1,Pilot Episode,HOWARD,yeah i’ve since level ten name button anyway game character could hang maybe go quest
282,1,1,Pilot Episode,PENNY,uh sound interesting
283,1,1,Pilot Episode,HOWARD,you’ll think
284,1,1,Pilot Episode,PENNY,oh don’t think i’ll able stop thinking
285,1,1,Pilot Episode,RAJ,smooth
286,1,1,Pilot Episode,LEONARD,we’re home
287,1,1,Pilot Episode,PENNY,oh god happen
288,1,1,Pilot Episode,LEONARD,well ex-boyfriend sends regard think rest fairly self-explanatory
289,1,1,Pilot Episode,PENNY,i’m sorry really think guy go instead wouldn’t as
290,1,1,Pilot Episode,LEONARD,valid hypothesis
291,1,1,Pilot Episode,SHELDON,valid hypothesis happen
292,1,1,Pilot Episode,PENNY,really thank much go try you’re uh you’re terrific don’t put clothes i’ll get purse dinner okay
293,1,1,Pilot Episode,LEONARD,really great
294,1,1,Pilot Episode,SHELDON,thank you’re do
295,1,1,Pilot Episode,LEONARD,baby smart beautiful
296,1,1,Pilot Episode,SHELDON,mention imaginary
297,1,1,Pilot Episode,LEONARD,thai food okay penny
298,1,1,Pilot Episode,PENNY,sure
299,1,1,Pilot Episode,SHELDON,can’t thai food indian lunch
301,1,1,Pilot Episode,SHELDON,they’re curry base cuisine
303,1,1,Pilot Episode,SHELDON,would gastronomically redundant see we’re go spell everything girl
304,1,1,Pilot Episode,PENNY,idea raj
305,1,1,Pilot Episode,HOWARD,turn leave lake street head colorado know wonderful little sushi bar karaoke
306,1,1,Pilot Episode,PENNY,sound like fun
307,1,1,Pilot Episode,SHELDON,don’t know odds world whole far population car go you’re veritable mack daddy
308,1,2,The Big Bran Hypothesis,LEONARD,go pad thai peanut
309,1,2,The Big Bran Hypothesis,HOWARD,peanut oil
310,1,2,The Big Bran Hypothesis,LEONARD,uh i’m sure everyone keep eye howard case start swell
311,1,2,The Big Bran Hypothesis,SHELDON,since it’s bee season epinephrine
312,1,2,The Big Bran Hypothesis,RAJ,chopstick
313,1,2,The Big Bran Hypothesis,SHELDON,don’t need chopstick thai food
314,1,2,The Big Bran Hypothesis,LEONARD,go
315,1,2,The Big Bran Hypothesis,SHELDON,thailand fork since latter half nineteenth century interestingly don’t actually put fork mouth use put food spoon go mouth
316,1,2,The Big Bran Hypothesis,LEONARD,ask napkin dare i’ll get
317,1,2,The Big Bran Hypothesis,HOWARD,look puffy feel puffy
318,1,2,The Big Bran Hypothesis,PENNY,hey leonard
319,1,2,The Big Bran Hypothesis,LEONARD,oh hi penny
320,1,2,The Big Bran Hypothesis,PENNY,interrupt
322,1,2,The Big Bran Hypothesis,PENNY,sound like company
323,1,2,The Big Bran Hypothesis,LEONARD,they’re go anywhere you’re come home work that’s great work
324,1,2,The Big Bran Hypothesis,PENNY,well know it’s cheesecake factory people order cheesecake bring
325,1,2,The Big Bran Hypothesis,LEONARD,sort act carbohydrate delivery system
326,1,2,The Big Bran Hypothesis,PENNY,yeah call whatever want get minimum wage yeah anyways wonder could help something was…
327,1,2,The Big Bran Hypothesis,LEONARD,yes
328,1,2,The Big Bran Hypothesis,PENNY,oh okay great i’m furniture deliver tomorrow may so… oh hel…hello
329,1,2,The Big Bran Hypothesis,PENNY,i’m sorry
330,1,2,The Big Bran Hypothesis,HOWARD,haven’t ever tell beautiful flawless russian
331,1,2,The Big Bran Hypothesis,PENNY,haven’t
332,1,2,The Big Bran Hypothesis,HOWARD,get use
333,1,2,The Big Bran Hypothesis,PENNY,yeah probably won’t but… hey sheldon
334,1,2,The Big Bran Hypothesis,SHELDON,hi
335,1,2,The Big Bran Hypothesis,PENNY,hey raj still talk huh
336,1,2,The Big Bran Hypothesis,SHELDON,don’t take personally it’s pathology can’t talk woman
337,1,2,The Big Bran Hypothesis,HOWARD,can’t talk attractive woman case cheesecake–scented goddess
338,1,2,The Big Bran Hypothesis,LEONARD,there’s gonna furniture deliver
339,1,2,The Big Bran Hypothesis,PENNY,yeah yeah get i’m tomorrow could sign put apartment
340,1,2,The Big Bran Hypothesis,LEONARD,yeah problem
341,1,2,The Big Bran Hypothesis,PENNY,great here’s spare key thank
342,1,2,The Big Bran Hypothesis,LEONARD,penny wait
343,1,2,The Big Bran Hypothesis,PENNY,yeah
344,1,2,The Big Bran Hypothesis,LEONARD,um don’t plan want join thai food superman movie marathon
345,1,2,The Big Bran Hypothesis,PENNY,marathon wow many superman movie
346,1,2,The Big Bran Hypothesis,SHELDON,you’re kid right
347,1,2,The Big Bran Hypothesis,PENNY,yeah like one lois lane fall helicopter superman swoosh catch one
348,1,2,The Big Bran Hypothesis,SHELDON,realise scene rife scientific inaccuracy
349,1,2,The Big Bran Hypothesis,PENNY,yes know men can’t fly
350,1,2,The Big Bran Hypothesis,SHELDON,oh let’s assume lois lane fall accelerate initial rate foot per second per second superman swoop save reach two arm steel miss lane travel approximately mile per hour hit immediately slice three equal piece
351,1,2,The Big Bran Hypothesis,LEONARD,unless superman match speed decelerates
352,1,2,The Big Bran Hypothesis,SHELDON,space sir space she’s two foot ground frankly really love he’d let hit pavement would merciful death
353,1,2,The Big Bran Hypothesis,LEONARD,excuse entire argument predicate assumption superman’s flight feat strength
354,1,2,The Big Bran Hypothesis,SHELDON,listen well establish superman’s flight feat strength extension ability leap tall building ability derive earth’s yellow sun
355,1,2,The Big Bran Hypothesis,HOWARD,yeah don’t problem fly night
356,1,2,The Big Bran Hypothesis,SHELDON,uh combination moon’s solar reflection energy storage capacity kryptonian skin cell
357,1,2,The Big Bran Hypothesis,PENNY,i’m go go wash
358,1,2,The Big Bran Hypothesis,LEONARD,hundred comic book challenge find single reference kryptonian skin cell
359,1,2,The Big Bran Hypothesis,SHELDON,challenge accept we’re lock
360,1,2,The Big Bran Hypothesis,RAJ,also pretty girl leave
361,1,2,The Big Bran Hypothesis,LEONARD,okay apartment’s fourth floor elevator’s broken you’re go oh you’re go do okay cool thanks guess we’ll bring
362,1,2,The Big Bran Hypothesis,SHELDON,hardly think
364,1,2,The Big Bran Hypothesis,SHELDON,well don’t dolly lift belt measurable upper body strength
365,1,2,The Big Bran Hypothesis,LEONARD,don’t need strength we’re physicists intellectual descendent archimedes give fulcrum lever move earth it’s matter… don’t this… don’t don’t
366,1,2,The Big Bran Hypothesis,SHELDON,archimedes would proud
367,1,2,The Big Bran Hypothesis,LEONARD,idea
368,1,2,The Big Bran Hypothesis,SHELDON,yes involve green lantern power ring
369,1,2,The Big Bran Hypothesis,LEONARD,easy easy okay we’ve get inclined plane force require lift reduce sine angle stair call thirty degree half
370,1,2,The Big Bran Hypothesis,SHELDON,exactly half
371,1,2,The Big Bran Hypothesis,SHELDON,what’s formula corner
372,1,2,The Big Bran Hypothesis,LEONARD,oh okay uh okay yeah problem come help pull turn
373,1,2,The Big Bran Hypothesis,SHELDON,ah gravity thou art heartless bitch
374,1,2,The Big Bran Hypothesis,SHELDON,understand effort way increase odds sexual congress woman
375,1,2,The Big Bran Hypothesis,LEONARD,men thing woman without expect sex
376,1,2,The Big Bran Hypothesis,SHELDON,yeah men sex
377,1,2,The Big Bran Hypothesis,LEONARD,i’m good neighbour case there’s way could lower odds
378,1,2,The Big Bran Hypothesis,LEONARD,almost almost almost
379,1,2,The Big Bran Hypothesis,SHELDON,we’re we’re we’re
380,1,2,The Big Bran Hypothesis,SHELDON,watch finger watch finger oh god finger
381,1,2,The Big Bran Hypothesis,LEONARD,okay
382,1,2,The Big Bran Hypothesis,SHELDON,hurt… great caesar’s ghost look place
383,1,2,The Big Bran Hypothesis,LEONARD,penny’s little messy
384,1,2,The Big Bran Hypothesis,SHELDON,little messy mandelbrot set complex number little messy chaos excuse explain organisational system tray flatware couch valid i’m infer couch evidence suggest coffee table’s tiny garage sale
385,1,2,The Big Bran Hypothesis,LEONARD,ever occur everyone compulsive need sort organise label entire world around
387,1,2,The Big Bran Hypothesis,LEONARD,well don’t hard may believe people don’t sort breakfast cereal numerically fibre content
388,1,2,The Big Bran Hypothesis,SHELDON,excuse think we’ve find helpful time
389,1,2,The Big Bran Hypothesis,LEONARD,come go
390,1,2,The Big Bran Hypothesis,SHELDON,hang
392,1,2,The Big Bran Hypothesis,SHELDON,straighten
393,1,2,The Big Bran Hypothesis,LEONARD,sheldon home
394,1,2,The Big Bran Hypothesis,SHELDON,anyone’s home swirl vortex entropy
395,1,2,The Big Bran Hypothesis,LEONARD,transvestite live didn’t care keep place
396,1,2,The Big Bran Hypothesis,SHELDON,immaculate mean open man’s closet leave right evening gown cocktail dress police uniform
397,1,2,The Big Bran Hypothesis,LEONARD,closet
398,1,2,The Big Bran Hypothesis,SHELDON,help run cable webcam
399,1,2,The Big Bran Hypothesis,LEONARD,oh hey penny arrive brought
400,1,2,The Big Bran Hypothesis,PENNY,great hard get stair
405,1,2,The Big Bran Hypothesis,LEONARD,well we’ll get hair
406,1,2,The Big Bran Hypothesis,PENNY,oh great thank
407,1,2,The Big Bran Hypothesis,SHELDON,penny want know don’t live like i’m
408,1,2,The Big Bran Hypothesis,PENNY,what’s talk
409,1,2,The Big Bran Hypothesis,LEONARD,it’s joke
410,1,2,The Big Bran Hypothesis,PENNY,don’t get
411,1,2,The Big Bran Hypothesis,LEONARD,yeah didn’t tell right
412,1,2,The Big Bran Hypothesis,LEONARD,sheldon
413,1,2,The Big Bran Hypothesis,LEONARD,sheldon hello
414,1,2,The Big Bran Hypothesis,LEONARD,sheldon
415,1,2,The Big Bran Hypothesis,SHELDON,sssshhhh penny’s sleep
416,1,2,The Big Bran Hypothesis,LEONARD,insane can’t break woman’s apartment middle night clean
417,1,2,The Big Bran Hypothesis,SHELDON,choice couldn’t sleep know outside bedroom living room outside living room hallway immediately adjacent hallway was…
418,1,2,The Big Bran Hypothesis,LEONARD,realise penny wake reasonable explanation we’re
419,1,2,The Big Bran Hypothesis,SHELDON,give reasonable explanation
420,1,2,The Big Bran Hypothesis,LEONARD,give explanation it’s reasonableness determine jury peer
421,1,2,The Big Bran Hypothesis,SHELDON,don’t ridiculous peer
422,1,2,The Big Bran Hypothesis,LEONARD,sheldon get
423,1,2,The Big Bran Hypothesis,SHELDON,might want speak low register
425,1,2,The Big Bran Hypothesis,SHELDON,evolution make woman sensitive high pitch noise sleep they’ll rouse cry baby want avoid wake speak low register
426,1,2,The Big Bran Hypothesis,LEONARD,that’s ridiculous
427,1,2,The Big Bran Hypothesis,SHELDON,that’s ridiculous
428,1,2,The Big Bran Hypothesis,SHELDON,leave i’m do
